node,side,depth_station,height_level,port_count,port_directions
L-D0-H0,L,D0,H0,3,+Z up; +Y width; +X depth/rear
R-D0-H0,R,D0,H0,3,-Y width; +Z up; +X depth/rear
L-D0-H1,L,D0,H1,3,-Z down; +Y width; +X depth/rear
R-D0-H1,R,D0,H1,3,-Y width; -Z down; +X depth/rear
L-D1-H0,L,D1,H0,4,-X depth/front; +Z up; +Y width; +X depth/rear
R-D1-H0,R,D1,H0,4,-X depth/front; -Y width; +Z up; +X depth/rear
L-D1-H1,L,D1,H1,5,-X depth/front; -Z down; +Z up; +Y width; +X depth/rear
R-D1-H1,R,D1,H1,5,-X depth/front; -Y width; -Z down; +Z up; +X depth/rear
L-D1-H2,L,D1,H2,3,-Z down; +Y width; +X depth/rear
R-D1-H2,R,D1,H2,3,-Y width; -Z down; +X depth/rear
L-D2-H0,L,D2,H0,4,-X depth/front; +Z up; +Y width; +X depth/rear
R-D2-H0,R,D2,H0,4,-X depth/front; -Y width; +Z up; +X depth/rear
L-D2-H1,L,D2,H1,5,-X depth/front; -Z down; +Z up; +Y width; +X depth/rear
R-D2-H1,R,D2,H1,5,-X depth/front; -Y width; -Z down; +Z up; +X depth/rear
L-D2-H2,L,D2,H2,5,-X depth/front; -Z down; +Z up; +Y width; +X depth/rear
R-D2-H2,R,D2,H2,5,-X depth/front; -Y width; -Z down; +Z up; +X depth/rear
L-D2-H3,L,D2,H3,3,-Z down; +Y width; +X depth/rear
R-D2-H3,R,D2,H3,3,-Y width; -Z down; +X depth/rear
L-D3-H0,L,D3,H0,4,-X depth/front; +Z up; +Y width; +X depth/rear
R-D3-H0,R,D3,H0,4,-X depth/front; -Y width; +Z up; +X depth/rear
L-D3-H1,L,D3,H1,5,-X depth/front; -Z down; +Z up; +Y width; +X depth/rear
R-D3-H1,R,D3,H1,5,-X depth/front; -Y width; -Z down; +Z up; +X depth/rear
L-D3-H2,L,D3,H2,5,-X depth/front; -Z down; +Z up; +Y width; +X depth/rear
R-D3-H2,R,D3,H2,5,-X depth/front; -Y width; -Z down; +Z up; +X depth/rear
L-D3-H3,L,D3,H3,5,-X depth/front; -Z down; +Z up; +Y width; +X depth/rear
R-D3-H3,R,D3,H3,5,-X depth/front; -Y width; -Z down; +Z up; +X depth/rear
L-D3-H4,L,D3,H4,3,-Z down; +Y width; +X depth/rear
R-D3-H4,R,D3,H4,3,-Y width; -Z down; +X depth/rear
L-D4-H0,L,D4,H0,3,-X depth/front; +Z up; +Y width
R-D4-H0,R,D4,H0,3,-X depth/front; -Y width; +Z up
L-D4-H1,L,D4,H1,4,-X depth/front; -Z down; +Z up; +Y width
R-D4-H1,R,D4,H1,4,-X depth/front; -Y width; -Z down; +Z up
L-D4-H2,L,D4,H2,4,-X depth/front; -Z down; +Z up; +Y width
R-D4-H2,R,D4,H2,4,-X depth/front; -Y width; -Z down; +Z up
L-D4-H3,L,D4,H3,4,-X depth/front; -Z down; +Z up; +Y width
R-D4-H3,R,D4,H3,4,-X depth/front; -Y width; -Z down; +Z up
L-D4-H4,L,D4,H4,3,-X depth/front; -Z down; +Y width
R-D4-H4,R,D4,H4,3,-X depth/front; -Y width; -Z down
